*sample_name,biosample number,sample_title,bioproject_accession,*organism,host,isolation_source,*collection_date,*geo_loc_name,*lat_lon,altitude,ref_biomaterial,rel_to_oxygen,samp_collect_device,samp_mat_process,samp_size,source_material_id,description,*env_biome,*env_feature,*env_material,Room number and pen (i.e. crate) ID ,Cohort,Antibiotic regimen,Probiotic regimen,Dysentery,DNA extraction plate ID,DNA extraction well ID,Sample_storage_temperature,host_body_habitat,host_diet,host_last_meal,host_life_stage,host_sex,TATTOO,Crate before start of the trial,NURSING_DAM,BIRTH_DAY,LINE,CROSS_BREED,STIGSIRE (male parent),STIGDAM (female parent),host_weight,,,,,,,,,,,,,,
Fe3/29865,SAMN11097865Ê,,PRJNA526405,Pig gut metagenome,Pig,29865,3/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 2 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4E,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_4,A11,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29865,B6,910916,1/11/2017 0:00:00,326,Duroc x Large white,BR05942,314656,not available,,,,,,,,,,,,,,
Fe3/29667,SAMN11097866Ê,,PRJNA526405,Pig gut metagenome,Pig,29667,3/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 2 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4E,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_6,C12,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29667,A26,315286,1/8/2017 0:00:00,326,Duroc x Large white,BR06957,315286,not available,,,,,,,,,,,,,,
Fe3/29931,SAMN11097867Ê,,PRJNA526405,Pig gut metagenome,Pig,29931,3/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 2 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4F,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_3,F11,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29931,A31,B11614,1/11/2017 0:00:00,326,Duroc x Large white,BR06957,B11614,not available,,,,,,,,,,,,,,
Fe3/29961,SAMN11097868Ê,,PRJNA526405,Pig gut metagenome,Pig,29961,3/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 2 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4F,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_6,E1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29961,B22,32810,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,32810,not available,,,,,,,,,,,,,,
Fe3/14263,SAMN11097869Ê,,PRJNA526405,Pig gut metagenome,Pig,14263,3/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 2 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4G,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_8,E1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14263,B8,Y09733,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,Y09733,not available,,,,,,,,,,,,,,
Fe3/29702,SAMN11097870Ê,,PRJNA526405,Pig gut metagenome,Pig,29702,3/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 2 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4G,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_7,G7,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29702,B28,315376,1/9/2017 0:00:00,326,Duroc x Large white,BR05942,315376,not available,,,,,,,,,,,,,,
Fe3/29715,SAMN11097871Ê,,PRJNA526405,Pig gut metagenome,Pig,29715,3/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 2 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4H,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_3,H8,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29715,B13,Y08843,1/9/2017 0:00:00,326,Large white x Duroc,BB19727,40519,not available,,,,,,,,,,,,,,
Fe3/14260,SAMN11097872Ê,,PRJNA526405,Pig gut metagenome,Pig,14260,3/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 2 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4H,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_8,F2,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14260,B8,Y09733,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,Y09733,not available,,,,,,,,,,,,,,
Fe3/29643,SAMN11097873Ê,,PRJNA526405,Pig gut metagenome,Pig,29643,3/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 2 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4H,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_7,E6,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29643,A29,60581,1/7/2017 0:00:00,326,Large white x Duroc,BB17642,R03999,not available,,,,,,,,,,,,,,
Fe3/14261,SAMN11097874Ê,,PRJNA526405,Pig gut metagenome,Pig,14261,3/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 2 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4I,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_3,H10,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14261,B8,Y09733,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,Y09733,not available,,,,,,,,,,,,,,
Fe3/14186,SAMN11097875Ê,,PRJNA526405,Pig gut metagenome,Pig,14186,3/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 2 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4I,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_4,G10,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14186,B2,210747,1/8/2017 0:00:00,316,Duroc x Landrace,BR06957,210747,not available,,,,,,,,,,,,,,
Fe3/29646,SAMN11097876Ê,,PRJNA526405,Pig gut metagenome,Pig,29646,3/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 2 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4I,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_6,D9,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29646,A29,60581,1/7/2017 0:00:00,326,Large white x Duroc,BB17642,R03999,not available,,,,,,,,,,,,,,
Fe6/14277,SAMN11097877Ê,,PRJNA526405,Pig gut metagenome,Pig,14277,6/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 5 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_10,F8,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14277,B27,210080,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,210080,not available,,,,,,,,,,,,,,
Fe6/14204,SAMN11097878Ê,,PRJNA526405,Pig gut metagenome,Pig,14204,6/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 5 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_9,C3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14204,B4,Y08266,1/9/2017 0:00:00,316,Duroc x Landrace,BR06957,Y08266,not available,,,,,,,,,,,,,,
Fe6/14182,SAMN11097879Ê,,PRJNA526405,Pig gut metagenome,Pig,14182,6/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 5 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1D,Control,not applicable,not applicable,0,plate_10,C3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14182,B2,210747,1/8/2017 0:00:00,316,Duroc x Landrace,BR06957,210747,not available,,,,,,,,,,,,,,
Fe6/29945,SAMN11097880Ê,,PRJNA526405,Pig gut metagenome,Pig,29945,6/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 5 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1D,Control,not applicable,not applicable,0,plate_9,D8,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29945,B22,32810,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,315132,not available,,,,,,,,,,,,,,
Fe6/14271,SAMN11097881Ê,,PRJNA526405,Pig gut metagenome,Pig,14271,6/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 5 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1D,Control,not applicable,not applicable,0,plate_10,E3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14271,B27,210080,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,210080,not available,,,,,,,,,,,,,,
Fe6/29867,SAMN11097882Ê,,PRJNA526405,Pig gut metagenome,Pig,29867,6/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 5 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1D,Control,not applicable,not applicable,0,plate_9,F1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29867,B6,910916,1/11/2017 0:00:00,326,Duroc x Large white,BR05942,314656,not available,,,,,,,,,,,,,,
Fe6/14192,SAMN11097883Ê,,PRJNA526405,Pig gut metagenome,Pig,14192,6/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 5 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4C,Neomycin,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,not applicable,0,plate_10,G3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14192,B58,60690,1/8/2017 0:00:00,316,Duroc x Landrace,BR06957,210747,not available,,,,,,,,,,,,,,
Fe6/29693,SAMN11097884Ê,,PRJNA526405,Pig gut metagenome,Pig,29693,6/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 5 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4H,Neomycin,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,not applicable,0,plate_9,A1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29693,D13,706402,1/8/2017 0:00:00,326,Duroc x Large white,BR06957,9128,not available,,,,,,,,,,,,,,
Fe6/29946,SAMN11097885Ê,,PRJNA526405,Pig gut metagenome,Pig,29946,6/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 5 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4H,Neomycin,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,not applicable,0,plate_10,B2,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29946,B23,315132,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,315132,not available,,,,,,,,,,,,,,
Fe6/29647,SAMN11097886Ê,,PRJNA526405,Pig gut metagenome,Pig,29647,6/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 5 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4I,Neomycin,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,not applicable,0,plate_9,D5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29647,B8,Y09733,1/7/2017 0:00:00,326,Large white x Duroc,BB17642,R03999,not available,,,,,,,,,,,,,,
Fe6/29804,SAMN11097887Ê,,PRJNA526405,Pig gut metagenome,Pig,29804,6/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 5 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4I,Neomycin,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,not applicable,0,plate_10,G5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29804,B62,316981,1/10/2017 0:00:00,326,Duroc x Large white,BR07264,316981,not available,,,,,,,,,,,,,,
Fe6/14207,SAMN11097888Ê,,PRJNA526405,Pig gut metagenome,Pig,14207,6/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 5 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,4I,Neomycin,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,not applicable,0,plate_9,B6,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14207,B4,Y08266,1/9/2017 0:00:00,316,Duroc x Landrace,BR06957,Y08266,not available,,,,,,,,,,,,,,
Fe7/14271,SAMN11097889Ê,,PRJNA526405,Pig gut metagenome,Pig,14271,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1D,Control,not applicable,not applicable,0,plate_7,G3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14271,B27,210080,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,210080,not available,,,,,,,,,,,,,,
Fe7/29912,SAMN11097890Ê,,PRJNA526405,Pig gut metagenome,Pig,29912,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1A,Control,not applicable,not applicable,0,plate_7,B9,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29912,B50,315875,1/11/2017 0:00:00,326,Duroc x Large white,BR05918,315875,6.4,,,,,,,,,,,,,,
Fe7/14160,SAMN11097891Ê,,PRJNA526405,Pig gut metagenome,Pig,14160,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1A,Control,not applicable,not applicable,0,plate_3,B4,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14160,A36,T11600,1/6/2017 0:00:00,319,Landrace x Cross bred (LW x D),BY12386,T11600,6.9,,,,,,,,,,,,,,
Fe7/29707,SAMN11097892Ê,,PRJNA526405,Pig gut metagenome,Pig,29707,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1A,Control,not applicable,not applicable,0,plate_7,F5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29707,B26,32771,1/9/2017 0:00:00,326,Duroc x Large white,BR05942,315376,9.3,,,,,,,,,,,,,,
Fe7/14322,SAMN11097893Ê,,PRJNA526405,Pig gut metagenome,Pig,14322,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1A,Control,not applicable,not applicable,0,plate_7,B1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14322,B31,21560,1/11/2017 0:00:00,316,Duroc x Landrace,BR06957,21560,7,,,,,,,,,,,,,,
Fe7/29913,SAMN11097894Ê,,PRJNA526405,Pig gut metagenome,Pig,29913,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1A,Control,not applicable,not applicable,0,plate_7,A6,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29913,B50,315875,1/11/2017 0:00:00,326,Duroc x Large white,BR05918,315875,5.3,,,,,,,,,,,,,,
Fe7/14187,SAMN11097895Ê,,PRJNA526405,Pig gut metagenome,Pig,14187,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1A,Control,not applicable,not applicable,0,plate_3,A7,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14187,B2,210747,1/8/2017 0:00:00,316,Duroc x Landrace,BR06957,210747,6.8,,,,,,,,,,,,,,
Fe7/14286,SAMN11097896Ê,,PRJNA526405,Pig gut metagenome,Pig,14286,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1B,Control,not applicable,not applicable,0,plate_8,D10,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14286,C19,212211,1/11/2017 0:00:00,316,Duroc x Landrace,BR07335,212211,6.2,,,,,,,,,,,,,,
Fe7/29962,SAMN11097897Ê,,PRJNA526405,Pig gut metagenome,Pig,29962,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1B,Control,not applicable,not applicable,0,plate_7,E5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29962,B23,315132,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,32810,6.5,,,,,,,,,,,,,,
Fe7/29665,SAMN11097898Ê,,PRJNA526405,Pig gut metagenome,Pig,29665,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1B,Control,not applicable,not applicable,0,plate_8,E4,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29665,A26,315286,1/8/2017 0:00:00,326,Duroc x Large white,BR06957,315286,7.3,,,,,,,,,,,,,,
Fe7/29939,SAMN11097899Ê,,PRJNA526405,Pig gut metagenome,Pig,29939,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1B,Control,not applicable,not applicable,0,plate_8,H12,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29939,A31,B11614,1/11/2017 0:00:00,326,Duroc x Large white,BR06957,B11614,6.2,,,,,,,,,,,,,,
Fe7/14161,SAMN11097900Ê,,PRJNA526405,Pig gut metagenome,Pig,14161,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1B,Control,not applicable,not applicable,0,plate_4,C12,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14161,A36,T11600,1/6/2017 0:00:00,319,Landrace x Cross bred (LW x D),BY12386,T11600,6.2,,,,,,,,,,,,,,
Fe7/29705,SAMN11097901Ê,,PRJNA526405,Pig gut metagenome,Pig,29705,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1B,Control,not applicable,not applicable,0,plate_8,C10,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29705,B28,315376,1/9/2017 0:00:00,326,Duroc x Large white,BR05942,315376,10.2,,,,,,,,,,,,,,
Fe7/29654,SAMN11097902Ê,,PRJNA526405,Pig gut metagenome,Pig,29654,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_7,D7,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29654,A25,316703,1/8/2017 0:00:00,326,Duroc x Large white,BR04050,316703,5.5,,,,,,,,,,,,,,
Fe7/29898,SAMN11097903Ê,,PRJNA526405,Pig gut metagenome,Pig,29898,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_8,G2,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29898,B55,315649,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,315649,7.7,,,,,,,,,,,,,,
Fe7/29631,SAMN11097904Ê,,PRJNA526405,Pig gut metagenome,Pig,29631,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_6,B3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29631,A29,60581,1/7/2017 0:00:00,326,Duroc x Large white,BR06957,B11802,6.1,,,,,,,,,,,,,,
Fe7/29666,SAMN11097905Ê,,PRJNA526405,Pig gut metagenome,Pig,29666,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_4,G8,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29666,A26,315286,1/8/2017 0:00:00,326,Duroc x Large white,BR06957,315286,8.3,,,,,,,,,,,,,,
Fe7/29948,SAMN11097906Ê,,PRJNA526405,Pig gut metagenome,Pig,29948,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_8,C3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29948,B23,315132,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,315132,5.9,,,,,,,,,,,,,,
Fe7/14233,SAMN11097907Ê,,PRJNA526405,Pig gut metagenome,Pig,14233,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2A,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_7,F10,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14233,A35,40516,1/9/2017 0:00:00,316,Duroc x Landrace,BR06957,21528,6.7,,,,,,,,,,,,,,
Fe7/29792,SAMN11097908Ê,,PRJNA526405,Pig gut metagenome,Pig,29792,7/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 6 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2A,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_3,A10,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29792,B10,32719,1/10/2017 0:00:00,326,Duroc x Large white,BR07264,B12474,5,,,,,,,,,,,,,,
